,Resolution,Alpha,Runtime(s) ev,Runtime(s) evr,Runtime(s) evd,Runtime(s) evx,Resolution_inv
0,5.0,-0.18449,0.003,0.001,0.002,0.001,0.2
1,7.0,-0.15923,0.001,0.001,0.001,0.002,0.14285714285714285
2,9.0,-0.14682,0.002,0.002,0.001,0.002,0.1111111111111111
3,11.0,-0.13946,0.003,0.003,0.003,0.002,0.09090909090909091
4,13.0,-0.13459,0.005,0.005,0.004,0.004,0.07692307692307693
5,15.0,-0.13112,0.008,0.007,0.007,0.006,0.06666666666666667
6,17.0,-0.12854,0.009,0.01,0.011,0.01,0.058823529411764705
7,19.0,-0.12653,0.015,0.016,0.016,0.018,0.05263157894736842
8,21.0,-0.12493,0.025,0.024,0.028,0.028,0.047619047619047616
9,23.0,-0.12363,0.035,0.033,0.04,0.037,0.043478260869565216
10,25.0,-0.12254,0.048,0.045,0.066,0.05,0.04
11,27.0,-0.12162,0.078,0.073,0.074,0.069,0.037037037037037035
12,29.0,-0.12084,0.095,0.1,0.081,0.093,0.034482758620689655
13,31.0,-0.12016,0.107,0.122,0.117,0.123,0.03225806451612903
14,33.0,-0.11956,0.168,0.148,0.173,0.166,0.030303030303030304
15,35.0,-0.11904,0.222,0.231,0.209,0.222,0.02857142857142857
16,37.0,-0.11857,0.27,0.292,0.308,0.315,0.02702702702702703
17,39.0,-0.11815,0.448,0.442,0.462,0.537,0.02564102564102564
18,41.0,-0.11778,0.451,0.659,0.461,0.537,0.024390243902439025
19,43.0,-0.11744,0.533,0.77,0.542,0.797,0.023255813953488372
20,45.0,-0.11713,0.647,1.03,0.618,1.007,0.022222222222222223
21,47.0,-0.11685,0.792,1.355,0.723,1.329,0.02127659574468085
22,49.0,-0.1166,0.971,1.761,0.881,1.742,0.02040816326530612
23,51.0,-0.11636,1.179,2.258,1.09,2.279,0.0196078431372549
24,53.0,-0.11614,1.456,2.914,1.219,2.893,0.018867924528301886
25,55.0,-0.11594,1.753,3.694,1.523,3.722,0.01818181818181818
26,57.0,-0.11575,2.052,4.554,1.735,4.614,0.017543859649122806
27,59.0,-0.11558,2.446,5.909,2.057,5.624,0.01694915254237288
28,61.0,-0.11541,2.886,6.906,2.326,6.859,0.01639344262295082
29,63.0,-0.11526,3.458,8.465,2.754,8.447,0.015873015873015872
30,65.0,-0.11512,3.248,10.465,3.187,10.212,0.015384615384615385
31,67.0,-0.11498,3.79,12.111,3.691,12.167,0.014925373134328358
32,69.0,-0.11486,4.306,14.791,4.262,14.744,0.014492753623188406
33,71.0,-0.11474,5.043,17.253,4.925,17.116,0.014084507042253521
34,73.0,-0.11462,5.65,20.04,5.584,20.279,0.0136986301369863
35,75.0,-0.11452,6.449,23.291,6.436,23.599,0.013333333333333334
36,77.0,-0.11442,7.409,27.344,7.207,27.674,0.012987012987012988
37,79.0,-0.11432,8.23,8.089,8.273,33.182,0.012658227848101266
38,81.0,-0.11423,9.124,9.262,9.324,37.668,0.012345679012345678
39,83.0,-0.11414,10.393,10.517,10.509,43.473,0.012048192771084338
40,85.0,-0.11406,11.811,12.181,11.817,50.044,0.011764705882352941
41,87.0,-0.11398,13.253,13.249,13.288,56.374,0.011494252873563218
42,89.0,-0.11391,14.771,15.16,14.874,64.999,0.011235955056179775
43,91.0,-0.11384,16.634,17.24,16.602,74.328,0.01098901098901099
44,93.0,-0.11377,18.971,20.304,19.034,86.248,0.010752688172043012
45,95.0,-0.1137,21.038,20.811,21.266,95.538,0.010526315789473684
46,97.0,-0.11364,22.879,22.938,22.944,109.003,0.010309278350515464
47,99.0,-0.11358,26.959,25.376,25.533,120.251,0.010101010101010102
48,101.0,-0.11352,26.473,26.544,28.827,136.517,0.009900990099009901
49,103.0,-0.11347,29.824,29.204,31.699,150.775,0.009708737864077669
50,105.0,-0.11341,32.855,32.691,35.444,170.833,0.009523809523809525
51,107.0,-0.11336,35.505,36.058,38.159,188.679,0.009345794392523364
52,109.0,-0.11331,39.26,39.611,42.384,210.407,0.009174311926605505
53,111.0,-0.11327,44.015,43.613,46.943,235.593,0.009009009009009009
54,113.0,-0.11322,47.46,48.001,51.498,261.723,0.008849557522123894
55,115.0,-0.11318,54.398,54.266,57.184,292.139,0.008695652173913044
56,117.0,-0.11313,59.555,59.681,62.797,320.371,0.008547008547008548
57,119.0,-0.11309,64.795,64.358,67.782,360.048,0.008403361344537815
58,121.0,-0.11305,73.633,70.851,81.154,394.909,0.008264462809917356
59,123.0,-0.11301,77.203,76.591,75.683,445.451,0.008130081300813009
